2025-10-25 18:33:27,1490.0,1515.0,1543.4,1559.65
2025-10-27T15:47:13.833632,tarjeta,1833,1898,0,0,0.0,0.0
2025-10-27T15:48:14.480075,oficial,1410,1460,0,0,0.0,0.0
2025-10-27T15:48:14.755920,blue,1430,1450,0,0,0.0,0.0
2025-10-27T15:48:15.016124,mep,1452.7,1458.7,0.0,0.0,0.0,0.0
2025-10-27T15:48:15.271430,ccl,1463.5,1464.8,0.0,0.0,0.0,0.0
2025-10-27T15:48:15.532938,mayorista,1416,1425,0,0,0.0,0.0
2025-10-27T15:48:15.787358,cripto,1514,1520,0,0,0.0,0.0
2025-10-27T15:48:16.043757,tarjeta,1833,1898,0,0,0.0,0.0
2025-10-27T15:48:33.352435,oficial,1410,1460,0,0,0.0,0.0
2025-10-27T15:48:33.609909,blue,1430,1450,0,0,0.0,0.0
2025-10-27T15:48:33.890959,mep,1452.7,1458.7,0.0,0.0,0.0,0.0
2025-10-27T15:48:34.139219,ccl,1463.5,1464.8,0.0,0.0,0.0,0.0
2025-10-27T15:48:34.390865,mayorista,1416,1425,0,0,0.0,0.0
2025-10-27T15:48:34.652224,cripto,1514,1520,0,0,0.0,0.0
2025-10-27T15:48:34.904863,tarjeta,1833,1898,0,0,0.0,0.0
2025-10-27T15:49:21.870213,oficial,1410,1460,0,0,0.0,0.0
2025-10-27T15:49:22.356075,blue,1430,1450,0,0,0.0,0.0
2025-10-27T15:49:22.627266,mep,1452.7,1458.7,0.0,0.0,0.0,0.0
2025-10-27T15:49:22.882868,ccl,1463.5,1464.8,0.0,0.0,0.0,0.0
2025-10-27T15:49:23.137353,mayorista,1416,1425,0,0,0.0,0.0
2025-10-27T15:49:23.393737,cripto,1514,1520,0,0,0.0,0.0
2025-10-27T15:49:23.651194,tarjeta,1833,1898,0,0,0.0,0.0
2025-10-27T15:49:53.294633,oficial,1410,1460,0,0,0.0,0.0
2025-10-27T15:49:53.558515,blue,1430,1450,0,0,0.0,0.0
2025-10-27T15:49:53.820497,mep,1452.7,1458.7,0.0,0.0,0.0,0.0
2025-10-27T15:49:54.076862,ccl,1463.5,1464.8,0.0,0.0,0.0,0.0
2025-10-27T15:49:54.324504,mayorista,1416,1425,0,0,0.0,0.0
2025-10-27T15:49:54.604970,cripto,1514,1520,0,0,0.0,0.0
2025-10-27T15:49:54.851265,tarjeta,1833,1898,0,0,0.0,0.0
2025-10-27T15:50:55.234633,oficial,1410,1460,0,0,0.0,0.0
2025-10-27T15:50:55.500371,blue,1430,1450,0,0,0.0,0.0
